"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","14","0","","0"
"0","User API","0","Delete User","1","0","Unit - boolean return logic","0"
"0","User API","0","Get User","1","0","Unit - schema validation","0"
"0","User API","0","Get User","1","0","Unit - response deserialization","0"
"0","User API","0","Get User","1","0","Successful retrieval","0"
"0","User API","0","Create User","1","0","Successful creation","0"
"0","User API","0","Get User","1","0","Not found","0"
"0","User API","0","Create User","1","0","Unit - payload serialization + response deserialization","0"
"0","User API","0","Delete User","1","0","Successful deletion","0"
"0","User API","0","Get User","1","0","Unit - error handling","0"
