"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","test_delete_user_on_live_api","tests.api","2026-08-18","passed","2026-08-18","","test_users_integration","",""
"","2","get_user() raises NotFoundError on 404","tests.unit","2026-08-18","passed","2026-08-18","","test_user_client","",""
"","2","test_get_returns_response_on_200","tests.unit","2026-08-18","passed","2026-08-18","","test_base_client","",""
"","0","test_sanity","tests.unit","2026-08-18","passed","2026-08-18","","test_sanity","",""
"","19","test_context_manager_closes_client","tests.unit","2026-08-18","passed","2026-08-18","","test_base_client","",""
"","2","test_get_raises_not_found_error_on_404","tests.unit","2026-08-18","passed","2026-08-18","","test_base_client","",""
"","348","POST /api/users returns UserCreateResponse with matching fields","tests.api","2026-08-18","passed","2026-08-18","TestCreateUser","test_users","",""
"","181","test_create_user_on_live_api","tests.api","2026-08-18","passed","2026-08-18","","test_users_integration","",""
"The module-level `settings` singleton should load with the documented defaults
    when no environment variables or .env overrides are present beyond what ships
    in the repo's own .env file (which mirrors the defaults).","0","test_settings_singleton_uses_default_values","tests.unit","2026-08-18","passed","2026-08-18","","test_config","",""
"","1","get_user() maps JSON response onto UserResponse model","tests.unit","2026-08-18","passed","2026-08-18","","test_user_client","",""
"","2","test_get_raises_api_error_on_500","tests.unit","2026-08-18","passed","2026-08-18","","test_base_client","",""
"","342","DELETE /api/users/2 returns True","tests.api","2026-08-18","passed","2026-08-18","TestDeleteUser","test_users","",""
"With no .env file and no environment variables, fields fall back to their
    declared defaults.","1","test_defaults_load_correctly_without_env_file","tests.unit","2026-08-18","passed","2026-08-18","","test_config","",""
"","3","test_post_sends_json_body_and_default_headers","tests.unit","2026-08-18","passed","2026-08-18","","test_base_client","",""
"","1","test_api_key_is_kept_secret_in_repr","tests.unit","2026-08-18","passed","2026-08-18","","test_config","",""
"","28","test_get_user_from_live_api","tests.api","2026-08-18","passed","2026-08-18","","test_users_integration","",""
"","2","create_user() sends correct JSON body and maps response onto UserCreateResponse","tests.unit","2026-08-18","passed","2026-08-18","","test_user_client","",""
"","2","delete_user() returns True on 204 No Content","tests.unit","2026-08-18","passed","2026-08-18","","test_user_client","",""
"","1","test_api_key_defaults_to_none_and_is_optional","tests.unit","2026-08-18","passed","2026-08-18","","test_config","",""
"Environment variables take priority over field defaults.","1","test_environment_variables_override_defaults","tests.unit","2026-08-18","passed","2026-08-18","","test_config","",""
"","226","GET /api/users/2 returns a valid UserResponse","tests.api","2026-08-18","passed","2026-08-18","TestGetUser","test_users","",""
"","345","GET /api/users/9999 raises NotFoundError","tests.api","2026-08-18","passed","2026-08-18","TestGetUser","test_users","",""
